,name,playtime,number of platforms,platforms,number of stores,stores,genres,release date,rating,max rating,rating count,metacritic score,added
2238,Somewhere inside,0,1,['PC'],1,['Steam'],"['Adventure', 'Action', 'RPG', 'Indie', 'Massively Multiplayer']",2019-11-08,0.0,0,0,,{'owned': 2}
2239,Secret City: The Human Threat Collector's Edition,0,1,['PC'],1,['Steam'],"['Casual', 'Adventure']",2019-07-19,0.0,0,0,,{'owned': 2}
2240,Myths of the World: The Heart of Desolation Collector's Edition,0,1,['PC'],1,['Steam'],"['Casual', 'Adventure']",2019-10-04,0.0,0,0,,{'owned': 2}
2241,Hidden Hotel: Miami Mystery,0,1,['iOS'],1,['App Store'],"['Adventure', 'Puzzle']",2019-02-23,0.0,0,0,,"{'owned': 1, 'dropped': 1}"
2242,Cell to Singularity: Evolution,0,1,['iOS'],1,['App Store'],"['Strategy', 'Educational', 'Simulation']",2019-09-05,0.0,0,2,,"{'owned': 1, 'beaten': 1}"
2243,YOGA MASTER,0,1,['PlayStation'],1,['PlayStation Store'],[],2019-10-23,0.0,0,0,,{'owned': 2}
2244,Contraptions,0,3,"['PC', 'PlayStation', 'Nintendo']",3,"['Steam', 'PlayStation Store', 'Nintendo Store']","['Indie', 'Action', 'Puzzle']",2019-10-09,0.0,0,0,,{'owned': 2}
2245,Mahjong Strip Solitaire: Harem Guild,0,1,['PC'],1,['Steam'],['Casual'],2019-01-25,0.0,0,0,,"{'owned': 1, 'beaten': 1}"
2246,Island Maze,0,3,"['PC', 'Apple Macintosh', 'Nintendo']",2,"['Steam', 'Nintendo Store']","['Casual', 'Indie']",2019-09-20,0.0,0,0,,{'owned': 2}
2247,JUMP FORCE - Open Beta,0,1,['PlayStation'],None,None,[],2019-01-16,0.0,0,1,,"{'owned': 1, 'beaten': 1}"
2248,Idle Human,0,2,"['iOS', 'Android']",2,"['App Store', 'Google Play']","['Casual', 'Simulation']",2019-07-03,0.0,0,1,,"{'owned': 1, 'beaten': 1}"
2249,Second Galaxy,0,3,"['PC', 'iOS', 'Android']",3,"['Steam', 'App Store', 'Google Play']","['Strategy', 'Massively Multiplayer', 'RPG']",2019-08-13,0.0,0,1,,{'owned': 2}
2250,blue (game),0,1,['iOS'],1,['App Store'],['Puzzle'],2019-06-19,0.0,0,1,,"{'owned': 1, 'beaten': 1}"
2251,Archery Battle 3D,0,2,"['iOS', 'Android']",2,"['App Store', 'Google Play']","['Casual', 'Action', 'Sports']",2019-10-02,0.0,0,0,,{'owned': 2}
2252,Touhou Fantasia / 东方梦想曲,0,1,['PC'],1,['Steam'],"['Indie', 'Action']",2019-07-19,0.0,0,0,,"{'yet': 1, 'owned': 1}"
2253,We Happy Few - Lightbearer,0,3,"['PC', 'PlayStation', 'Xbox']",3,"['Steam', 'PlayStation Store', 'Xbox Store']",['Action'],2019-07-30,0.0,0,1,,"{'owned': 1, 'toplay': 1}"
2254,Virtual Villagers Origins 2 Xbox,0,1,['Xbox'],1,['Xbox Store'],[],2019-10-09,0.0,0,0,,{'owned': 2}
2255,Exos Heroes,0,2,"['iOS', 'Android']",2,"['App Store', 'Google Play']","['Action', 'RPG']",2019-11-19,0.0,0,0,,{'owned': 2}
2256,Walk Master,0,1,['iOS'],1,['App Store'],"['Casual', 'Action']",2019-07-03,0.0,0,1,,"{'dropped': 1, 'playing': 1}"
2257,Quench,0,2,"['PC', 'Nintendo']",2,"['Steam', 'Nintendo Store']",['Indie'],2019-08-07,0.0,0,0,,{'yet': 2}
2258,Real Girl VR,0,2,"['PC', 'Apple Macintosh']",1,['Steam'],"['Indie', 'Simulation']",2019-07-26,0.0,0,0,,{'owned': 2}
2259,This War of Mine: Stories,0,1,['iOS'],1,['App Store'],"['Adventure', 'Simulation']",2019-03-27,0.0,0,1,,"{'owned': 1, 'dropped': 1}"
2260,Photographs - Puzzle Stories,0,2,"['iOS', 'Android']",2,"['App Store', 'Google Play']",['Puzzle'],2019-04-03,0.0,0,0,,"{'owned': 1, 'toplay': 1}"
2261,Big Red Hood: Halloween,0,2,"['PC', 'Linux']",1,['Steam'],"['Casual', 'Indie', 'Adventure']",2019-10-24,0.0,0,1,,"{'owned': 1, 'beaten': 1}"
2262,Mystery Trackers: The Secret of Watch Hill Collector's Edition,0,1,['PC'],None,None,"['Casual', 'Adventure']",2019-12-28,0.0,0,1,,"{'owned': 1, 'beaten': 1}"
2263,Mystery Case Files: Black Crown Collector's Edition,0,1,['PC'],None,None,"['Casual', 'Adventure']",2019-11-26,0.0,0,0,,"{'yet': 1, 'owned': 1}"
2264,Haunted Manor: Remembrance Collector's Edition,0,1,['PC'],None,None,"['Casual', 'Adventure']",2019-10-19,0.0,0,0,,"{'yet': 1, 'owned': 1}"
2265,Sea King,0,2,"['PC', 'Nintendo']",2,"['Steam', 'Nintendo Store']","['Indie', 'Action']",2019-06-17,0.0,0,1,,"{'beaten': 1, 'toplay': 1}"
2266,Seek Hearts,0,3,"['PC', 'PlayStation', 'Xbox']",3,"['Steam', 'PlayStation Store', 'Xbox Store']","['Strategy', 'Adventure', 'RPG', 'Simulation']",2019-12-04,0.0,0,0,,"{'owned': 1, 'toplay': 1}"
2267,A Summer with the Shiba Inu,0,5,"['PC', 'PlayStation', 'Xbox', 'Apple Macintosh', 'Linux']",4,"['Steam', 'PlayStation Store', 'Xbox Store', 'itch.io']","['Casual', 'Indie', 'Adventure']",2019-08-23,0.0,0,0,,{'owned': 2}
2268,Zombieland: Double Tap - Road Trip,0,4,"['PC', 'PlayStation', 'Xbox', 'Nintendo']",4,"['Steam', 'PlayStation Store', 'Xbox Store', 'Nintendo Store']","['Shooter', 'Action']",2019-10-15,0.0,0,1,,"{'owned': 1, 'toplay': 1}"
